,Title,Artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Cluster
75,Sweet Child O' Mine,Guns N' Roses,0.45,0.904,-7.736000000000001,0.046,0.0872,0.10800000000000001,0.102,0.6890000000000001,125.072,356000,2
76,California Dreamin',The Mamas & The Papas,0.5539999999999999,0.667,-10.226,0.0342,0.628,0.0,0.0486,0.597,112.749,157960,0
77,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground,0.68,0.632,-9.642000000000001,0.0469,0.027000000000000003,0.868,0.146,0.863,125.89399999999999,279520,5
78,Paint It Black,The Rolling Stones,0.504,0.845,-7.7989999999999995,0.0938,0.0139,0.0419,0.359,0.736,159.50799999999998,224133,2
79,Let's Stay Together,Al Green,0.762,0.244,-18.114,0.0551,0.38799999999999996,0.0137,0.0663,0.5579999999999999,101.57,199507,1
80,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,0.77,0.812,-9.013,0.145,0.384,2.34e-06,0.122,0.897,90.984,129400,0
81,Fight The Power,Public Enemy,0.7979999999999999,0.586,-13.001,0.255,0.00556,2.34e-06,0.473,0.381,105.979,282640,4
82,For What It's Worth,Buffalo Springfield,0.653,0.519,-10.164,0.0497,0.406,0.0209,0.10099999999999999,0.8220000000000001,98.883,153693,0
83,I Want To Hold Your Hand - Remastered,The Beatles,0.49200000000000005,0.722,-6.348,0.0395,0.581,4.47e-06,0.354,0.9259999999999999,130.97,146533,0
84,Life On Mars? - 1999 Remastered Version,David Bowie,0.44,0.591,-7.859,0.0369,0.53,1.0300000000000001e-05,0.171,0.373,121.398,223413,2
85,Wonderwall,Oasis,0.413,0.85,-5.593,0.0362,0.00228,0.0,0.124,0.48100000000000004,174.423,258907,2
86,Dancing In The Street,Martha Reeves & The Vandellas,0.5429999999999999,0.807,-5.973,0.0359,0.0567,0.000858,0.32,0.685,126.15700000000001,159920,2
87,Ghost Town - Extended Version,The Specials,0.6659999999999999,0.654,-11.690999999999999,0.0926,0.0547,0.7020000000000001,0.341,0.898,73.687,359173,5
88,The Weight - Remastered,The Band,0.63,0.519,-10.997,0.0528,0.225,4.2999999999999995e-06,0.0974,0.502,143.942,278627,0
