,Title,Artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
147,I Bet You Look Good On The Dancefloor,Arctic Monkeys,0.535,0.948,-4.19,0.0356,0.00225,0.0,0.376,0.778,103.183,173680
148,Jailhouse Rock,Elvis Presley,0.654,0.619,-8.562,0.0818,0.431,1.08e-06,0.0608,0.9,166.841,146413
149,Maps,Yeah Yeah Yeahs,0.523,0.939,-5.972,0.0619,0.000803,0.201,0.544,0.164,119.839,219760
150,When a Man Loves a Woman,Percy Sledge,0.516,0.15,-20.41,0.0272,0.13,0.0755,0.122,0.206,97.398,173867
151,Baba O'Riley,The Who,0.489,0.724,-8.367,0.0352,0.313,0.185,0.287,0.15,117.292,300400
152,Get It On,T. Rex,0.73,0.867,-6.818,0.0601,0.187,0.759,0.222,0.903,126.431,265636
153,Will You Still Love Me Tomorrow,The Shirelles,0.574,0.44,-7.847,0.0314,0.654,3.36e-05,0.302,0.648,136.927,163773
154,White Rabbit,Jefferson Airplane,0.551,0.293,-12.503,0.0272,0.486,0.000273,0.0864,0.322,106.798,150640
155,Tainted Love,Soft Cell,0.5,0.501,-8.284,0.0376,0.462,0.0,0.26,0.623,144.438,153800
156,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z,0.495,0.933,-3.977,0.395,0.0294,0.0,0.503,0.815,173.414,277400
157,I Walk The Line - Single Version,Johnny Cash,0.863,0.382,-14.34,0.0464,0.777,0.00103,0.109,0.744,105.766,163027
158,Like a Prayer,Madonna,0.66,0.629,-12.359,0.0387,0.432,7.3e-05,0.172,0.324,111.926,340867
159,In My Life - Remastered,The Beatles,0.688,0.435,-11.359,0.0323,0.449,0.0,0.113,0.435,103.239,146333
160,Teenage Kicks,The Undertones,0.41,0.737,-8.07,0.0426,0.000685,0.0,0.197,0.555,134.991,148187
161,(Don't Fear) The Reaper,Blue Öyster Cult,0.368,0.928,-8.369,0.0593,0.00125,0.00111,0.301,0.532,141.175,308440
162,Help! - Remastered,The Beatles,0.534,0.725,-7.576,0.0332,0.188,0.0,0.0994,0.763,95.003,139560
163,Wuthering Heights,Kate Bush,0.481,0.392,-11.381,0.0312,0.366,0.0452,0.124,0.52,124.572,269067
164,Virginia Plain,Roxy Music,0.588,0.708,-7.823,0.0351,0.445,3.94e-05,0.293,0.579,131.197,178376
165,Roadrunner (Twice),Jonathan Richman & The Modern Lovers,0.462,0.831,-6.548,0.0355,5.34e-05,6.97e-05,0.125,0.863,75.541,245453
166,There She Goes,The La's,0.533,0.761,-10.632,0.0298,0.013,0.829,0.207,0.917,122.777,162187
167,I Wanna Be Your Dog,The Stooges,0.527,0.871,-8.708,0.0354,0.0229,0.155,0.419,0.107,120.722,188560
168,Sunday Bloody Sunday,U2,0.543,0.936,-8.85,0.0505,0.378,0.000662,0.0446,0.752,101.678,276573
169,Umbrella,Rihanna,0.583,0.829,-4.603,0.134,0.00864,0.0,0.0426,0.575,174.028,275987
170,Smoke On the Water,Deep Purple,0.598,0.676,-9.211,0.0279,0.13,0.225,0.112,0.805,114.169,340742
171,While My Guitar Gently Weeps - Remastered,The Beatles,0.453,0.654,-8.855,0.0317,0.0205,0.00395,0.172,0.702,115.0,285000
172,Into the Groove,Madonna,0.729,0.856,-4.164,0.035,0.0658,0.00832,0.0691,0.804,116.467,285093
173,Family Affair - Single Version,Sly & The Family Stone,0.819,0.605,-13.83,0.132,0.669,0.0163,0.199,0.797,108.892,185533
174,(White Man) In Hammersmith Palais,The Clash,0.654,0.753,-5.323,0.0441,0.237,2.81e-06,0.0491,0.757,102.743,239747
175,Eleanor Rigby - Remastered,The Beatles,0.581,0.28,-9.091,0.0381,0.936,1.56e-05,0.305,0.813,137.831,126533
176,Sunshine Of Your Love,Cream,0.684,0.481,-12.59,0.0384,0.475,6.57e-05,0.118,0.784,115.078,250000
177,Walk on By,Dionne Warwick,0.687,0.454,-6.273,0.0298,0.896,4.98e-05,0.0796,0.623,98.967,175533
178,Sabotage - 2009 Digital Remaster,Beastie Boys,0.32,0.943,-5.789,0.126,0.00497,0.192,0.0984,0.49,166.524,178293
179,Search and Destroy - Iggy Pop Mix,The Stooges,0.235,0.977,0.878,0.107,0.00353,0.00604,0.172,0.241,152.952,208133
180,Little Red Corvette,Prince,0.748,0.746,-9.721,0.111,0.281,3.31e-05,0.632,0.709,123.144,296907
181,Born In The U.S.A.,Bruce Springsteen,0.397,0.861,-12.156,0.0569,0.00201,2.49e-05,0.35,0.512,121.856,278827
182,Brown Eyed Girl,Van Morrison,0.496,0.586,-10.991,0.0353,0.182,0.0,0.332,0.899,148.882,183520
183,Mystery Train,Elvis Presley,0.697,0.381,-16.694,0.035,0.304,0.00185,0.133,0.693,120.387,148093
184,Let It Be - Remastered,The Beatles,0.443,0.403,-8.339,0.0322,0.631,0.0,0.111,0.41,143.462,243027
185,Peggy Sue - Single Version,Buddy Holly,0.659,0.515,-7.912,0.0296,0.818,0.0,0.179,0.602,149.126,150067
186,Changes - 1999 Remastered Version,David Bowie,0.537,0.355,-11.241,0.0363,0.357,0.0,0.132,0.39,113.994,214573
187,Kick Out the Jams,MC5,0.316,0.921,-3.491,0.0708,0.00407,0.0,0.37,0.723,145.559,160533
188,Hurt,Johnny Cash,0.536,0.4,-7.717,0.0263,0.666,0.000906,0.0841,0.146,90.32,218533
189,Autobahn - 2009 Remaster,Kraftwerk,0.333,0.497,-15.606,0.0366,0.105,0.872,0.129,0.113,81.681,1367093
190,My Girls,Animal Collective,0.511,0.95,-6.057,0.0811,0.246,0.0514,0.902,0.537,119.973,342787
191,Midnight City,M83,0.507,0.729,-5.399,0.0393,0.0182,1.4e-06,0.0658,0.272,105.013,243960
192,Ziggy Stardust - 2012 Remastered Version,David Bowie,0.498,0.593,-11.72,0.0985,0.0476,3.42e-06,0.332,0.466,79.47,193577
193,HUMBLE.,Kendrick Lamar,0.908,0.621,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000
194,Blowin' in the Wind,Bob Dylan,0.38,0.0993,-20.567,0.0509,0.914,2.32e-05,0.0605,0.44,174.874,165427
195,Seasons (Waiting On You),Future Islands,0.498,0.721,-5.232,0.0282,0.136,0.7,0.0933,0.589,140.027,226440
196,Subterranean Homesick Blues,Bob Dylan,0.576,0.727,-9.973,0.05,0.702,0.0,0.324,0.751,173.854,141293
197,Debaser,Pixies,0.487,0.885,-12.005,0.0427,0.000397,0.347,0.0973,0.579,135.516,173173
198,Nuthin' But a 'G' Thang,Snoop Dogg,0.808,0.71,-8.099,0.306,0.00807,0.0,0.208,0.711,94.606,235187
199,Can't Get You out of My Head,Kylie Minogue,0.766,0.563,-7.516,0.0339,0.0263,0.683,0.115,0.964,126.007,230640
200,Sign 'O' the Times - Single Version,Prince,0.825,0.393,-10.875,0.0771,0.039,0.000908,0.0609,0.62,98.94,223507
201,Penny Lane - Remastered,The Beatles,0.651,0.488,-8.22,0.0316,0.212,0.026,0.136,0.49,113.038,180893
202,House Of Jealous Lovers,The Rapture,0.729,0.761,-4.277,0.0354,0.000333,0.368,0.308,0.763,130.007,304787
203,Planet Rock,Afrika Bambaataa,0.915,0.807,-9.636,0.13,0.011,0.000122,0.201,0.708,127.35,319960
204,Alone Again Or,Love,0.307,0.379,-11.8,0.031,0.684,0.000577,0.113,0.184,173.728,197013
205,Wish You Were Here - 2011 Remastered Version,Pink Floyd,0.481,0.262,-15.73,0.0414,0.735,0.0114,0.832,0.375,122.883,334744
206,Go Your Own Way,Fleetwood Mac,0.597,0.812,-12.062,0.0315,0.0219,0.00106,0.102,0.823,135.68,218400
207,Wichita Lineman - Remastered 2001,Glen Campbell,0.192,0.392,-11.667,0.0328,0.326,0.000199,0.248,0.391,172.312,186200
208,Runaway,Kanye West,0.383,0.579,-3.765,0.103,0.198,0.00184,0.517,0.103,86.522,547733
209,Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version,Buzzcocks,0.266,0.831,-9.07,0.0453,0.000862,0.0,0.0555,0.778,175.514,163693
210,Wild Thing,The Troggs,0.446,0.92,-4.228,0.183,0.754,0.0514,0.239,0.656,203.034,154987
211,Highway To Hell,AC/DC,0.575,0.927,-4.791,0.151,0.0644,0.00134,0.164,0.414,115.77,208400
212,Gloria (feat. Van Morrison) - Mono Version,Them,0.621,0.939,-6.761,0.0817,0.22,0.014,0.185,0.595,128.434,159107
213,Like a Virgin,Madonna,0.773,0.656,-10.88,0.0381,0.202,0.00323,0.0697,0.971,119.754,218627
214,With Or Without You - Remastered,U2,0.538,0.432,-11.882,0.0295,0.000185,0.309,0.139,0.116,110.181,295520
